"purl","group_id","artifact_id","git_url"
"pkg:maven/com.webcohesion.enunciate/enunciate-examples-jersey-storage","com.webcohesion.enunciate","enunciate-examples-jersey-storage","https://github.com/stoicflame/enunciate"
"pkg:maven/com.webcohesion.enunciate/enunciate-gwt-json-overlay","com.webcohesion.enunciate","enunciate-gwt-json-overlay","https://github.com/stoicflame/enunciate"
"pkg:maven/com.webcohesion.enunciate/enunciate-ruby-json-client","com.webcohesion.enunciate","enunciate-ruby-json-client","https://github.com/stoicflame/enunciate"
"pkg:maven/org.hprose/hprose-java","org.hprose","hprose-java","https://github.com/hprose/hprose-java"
"pkg:maven/com.webcohesion.enunciate/enunciate-examples-full-api-edge-cases","com.webcohesion.enunciate","enunciate-examples-full-api-edge-cases","https://github.com/stoicflame/enunciate"
"pkg:maven/com.webcohesion.enunciate/enunciate-java-json-client","com.webcohesion.enunciate","enunciate-java-json-client","https://github.com/stoicflame/enunciate"
"pkg:maven/org.codehaus.enunciate/enunciate-rt","org.codehaus.enunciate","enunciate-rt","https://github.com/stoicflame/enunciate"
"pkg:maven/com.webcohesion.enunciate/enunciate-java-xml-client","com.webcohesion.enunciate","enunciate-java-xml-client","https://github.com/stoicflame/enunciate"
"pkg:maven/org.codehaus.enunciate/enunciate-jersey-rt","org.codehaus.enunciate","enunciate-jersey-rt","https://github.com/stoicflame/enunciate"
"pkg:maven/com.bugvm/bugvm-cocoatouch","com.bugvm","bugvm-cocoatouch","https://github.com/bugvm/bugvm"
"pkg:maven/com.bugvm/bugvm-libimobiledevice","com.bugvm","bugvm-libimobiledevice","https://github.com/bugvm/bugvm"
"pkg:maven/org.dspace/dspace-jspui","org.dspace","dspace-jspui","https://github.com/DSpace/DSpace"
"pkg:maven/org.dspace/dspace-jspui-webapp","org.dspace","dspace-jspui-webapp","https://github.com/DSpace/DSpace"
"pkg:maven/org.dspace/dspace-lni","org.dspace","dspace-lni","https://github.com/DSpace/DSpace"
"pkg:maven/com.bugvm/bugvm-compiler","com.bugvm","bugvm-compiler","https://github.com/bugvm/bugvm"
"pkg:maven/com.bugvm/bugvm-llvm","com.bugvm","bugvm-llvm","https://github.com/bugvm/bugvm"
"pkg:maven/org.dspace/dspace-services","org.dspace","dspace-services","https://github.com/DSpace/DSpace"
"pkg:maven/org.jclouds/jclouds-all","org.jclouds","jclouds-all","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.driver/jclouds-slf4j","org.jclouds.driver","jclouds-slf4j","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds/jclouds-allblobstore","org.jclouds","jclouds-allblobstore","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds/jclouds-compute","org.jclouds","jclouds-compute","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.api/rackspace-cloudidentity","org.jclouds.api","rackspace-cloudidentity","https://github.com/jclouds/jclouds"
"pkg:maven/org.jclouds.driver/jclouds-sshj","org.jclouds.driver","jclouds-sshj","https://github.com/jclouds/jclouds"
